Model,Accuracy,Precision,Recall,F1-Score
XGBoost,0.9994683678894205,0.9992275009656238,0.9997677119628339,0.9994971178965376
Random Forest,0.9994683678894205,0.9992275009656238,0.9891311678093739,0.994090739395079
Neural Network (MLP),0.9997341839447103,0.9996133023975252,0.9998838559814169,0.9997484568542658
